UNFCCC;Factor;REMIND;Unit_REMIND
4.A.1. Forest land remaining forest land|N2O;;;
4.A.2. Land converted to forest land|CH4;;;
4.A.2. Land converted to forest land|CO2;;;
4.A.2. Land converted to forest land|N2O;;;
4.B. Cropland|CH4;;;
4.B. Cropland|CO2;;;
4.B. Cropland|N2O;;;
4.B.1. Cropland remaining cropland|CH4;;;
4.B.1. Cropland remaining cropland|CO2;;;
4.B.1. Cropland remaining cropland|N2O;;;
4.B.2. Land converted to cropland|CH4;;;
4.B.2. Land converted to cropland|CO2;;;
4.B.2. Land converted to cropland|N2O;;;
4.C. Grassland|CH4;;;
4.C. Grassland|CO2;;;
4.C. Grassland|N2O;;;
4.C.1. Grassland remaining grassland|CH4;;;
4.C.1. Grassland remaining grassland|CO2;;;
4.C.1. Grassland remaining grassland|N2O;;;
4.C.2. Land converted to grassland|CH4;;;
4.C.2. Land converted to grassland|CO2;;;
4.C.2. Land converted to grassland|N2O;;;
4.D. Wetlands|CH4;;;
4.D. Wetlands|CO2;;;
4.D. Wetlands|N2O;;;
4.D.1. Wetlands remaining wetlands|CH4;;;
4.D.1. Wetlands remaining wetlands|CO2;;;
4.D.1. Wetlands remaining wetlands|N2O;;;
4.D.2. Land converted to wetlands|CH4;;;
4.D.2. Land converted to wetlands|CO2;;;
4.D.2. Land converted to wetlands|N2O;;;
4.E. Settlements|CH4;;;
4.E. Settlements|CO2;;;
4.E. Settlements|N2O;;;
4.E.1. Settlements remaining settlements|CH4;;;
4.E.1. Settlements remaining settlements|CO2;;;
4.E.1. Settlements remaining settlements|N2O;;;
4.E.2. Land converted to settlements|CH4;;;
4.E.2. Land converted to settlements|CO2;;;
4.E.2. Land converted to settlements|N2O;;;
4.F. Other land|CH4;;;
4.F. Other land|CO2;;;
4.F. Other land|N2O;;;
4.F.2. Land converted to other land|CH4;;;
4.F.2. Land converted to other land|CO2;;;
4.F.2. Land converted to other land|N2O;;;
4.G. Harvested wood products|CO2;;;
4.H. Other|CH4;;;
4.H. Other|CO2;;;
5. Total waste|CH4;;;
5. Total waste|CO2;;;
5. Total waste|N2O;;;
5. Waste|CH4;0.001;Emi|CH4|Waste;Mt CH4/yr
5. Waste|CO2;0.001;Emi|CO2|Waste;Mt CO2/yr
5. Waste|N2O;1;Emi|N2O|Waste;kt N2O/yr
5.A. Solid waste disposal|CH4;;;
5.A.1. Managed waste disposal sites|CH4;;;
5.A.2. Unmanaged waste disposal sites|CH4;;;
5.A.3. Uncategorized waste disposal sites|CH4;;;
5.B. Biological treatment of solid waste|CH4;;;
5.B. Biological treatment of solid waste|N2O;;;
5.B.1. Composting|CH4;;;
5.B.1. Composting|N2O;;;
5.B.2. Anaerobic digestion at biogas facilities|CH4;;;
5.B.2. Anaerobic digestion at biogas facilities|N2O;;;
5.C. Incineration and open burning of waste|CH4;;;
5.C. Incineration and open burning of waste|CO2;;;
5.C. Incineration and open burning of waste|N2O;;;
5.C.1. Waste incineration|CH4;;;
5.C.1. Waste incineration|CO2;;;
5.C.1. Waste incineration|N2O;;;
5.C.2. Open burning of waste|CH4;;;
5.C.2. Open burning of waste|CO2;;;
