"REMIND_variable";"Comment";"JRC_variable";"JRC_Excel";"JRC_spreadsheet";"JRC_line ";"Weight";"Unit_REMIND";"Unit_JRC";"Factor";"JRC_complete"
"FE|Industry|Gases|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Natural gas (incl. biogas)";"JRC-IDEES-2015_Industry_";"NMM_fec";12;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Low enthalpy heat|Natural gas (incl. biogas)"
"FE|Industry|Heat|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Solar and geothermal";"JRC-IDEES-2015_Industry_";"NMM_fec";13;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Low enthalpy heat|Solar and geothermal"
"FE|Industry|Electricity|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Electricity";"JRC-IDEES-2015_Industry_";"NMM_fec";14;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Low enthalpy heat|Electricity"
"FE|Industry|Electricity|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Cement: Grinding, milling of raw material";"JRC-IDEES-2015_Industry_";"NMM_fec";15;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Grinding, milling of raw material"
"FE|Industry|Solids|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Solids";"JRC-IDEES-2015_Industry_";"NMM_fec";18;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Pre-heating and pre-calcination|Cement: pre-processing - Fuel use|Solids"
"FE|Industry|Liquids|Non-metallic minerals";"Non-metallic minerals (cement + other)";"LPG";"JRC-IDEES-2015_Industry_";"NMM_fec";19;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Pre-heating and pre-calcination|Cement: pre-processing - Fuel use|LPG"
"FE|Industry|Liquids|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Diesel oil (incl. biofuels)";"JRC-IDEES-2015_Industry_";"NMM_fec";20;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Pre-heating and pre-calcination|Cement: pre-processing - Fuel use|Diesel oil (incl. biofuels)"
"FE|Industry|Liquids|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Residual fuel oil";"JRC-IDEES-2015_Industry_";"NMM_fec";21;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Pre-heating and pre-calcination|Cement: pre-processing - Fuel use|Residual fuel oil"
"FE|Industry|Liquids|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Other liquids";"JRC-IDEES-2015_Industry_";"NMM_fec";22;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Pre-heating and pre-calcination|Cement: pre-processing - Fuel use|Other liquids"
"FE|Industry|Gases|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Natural gas (incl. biogas)";"JRC-IDEES-2015_Industry_";"NMM_fec";23;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Pre-heating and pre-calcination|Cement: pre-processing - Fuel use|Natural gas (incl. biogas)"
"FE|Industry|Solids|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Biomass";"JRC-IDEES-2015_Industry_";"NMM_fec";24;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Pre-heating and pre-calcination|Cement: pre-processing - Fuel use|Biomass"
"FE|Industry|Solids|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Solids";"JRC-IDEES-2015_Industry_";"NMM_fec";26;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Pre-heating and pre-calcination|Cement: pre-processing - Steam|Solids"
"FE|Industry|Gases|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Refinery gas";"JRC-IDEES-2015_Industry_";"NMM_fec";27;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Pre-heating and pre-calcination|Cement: pre-processing - Steam|Refinery gas"
"FE|Industry|Liquids|Non-metallic minerals";"Non-metallic minerals (cement + other)";"LPG";"JRC-IDEES-2015_Industry_";"NMM_fec";28;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Pre-heating and pre-calcination|Cement: pre-processing - Steam|LPG"
"FE|Industry|Liquids|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Diesel oil (incl. biofuels)";"JRC-IDEES-2015_Industry_";"NMM_fec";29;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Pre-heating and pre-calcination|Cement: pre-processing - Steam|Diesel oil (incl. biofuels)"
"FE|Industry|Liquids|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Residual fuel oil";"JRC-IDEES-2015_Industry_";"NMM_fec";30;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Pre-heating and pre-calcination|Cement: pre-processing - Steam|Residual fuel oil"
"FE|Industry|Liquids|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Other liquids";"JRC-IDEES-2015_Industry_";"NMM_fec";31;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Pre-heating and pre-calcination|Cement: pre-processing - Steam|Other liquids"
"FE|Industry|Gases|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Natural gas (incl. biogas)";"JRC-IDEES-2015_Industry_";"NMM_fec";32;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Pre-heating and pre-calcination|Cement: pre-processing - Steam|Natural gas (incl. biogas)"
"FE|Industry|Gases|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Derived gases";"JRC-IDEES-2015_Industry_";"NMM_fec";33;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Pre-heating and pre-calcination|Cement: pre-processing - Steam|Derived gases"
"FE|Industry|Solids|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Biomass";"JRC-IDEES-2015_Industry_";"NMM_fec";34;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Pre-heating and pre-calcination|Cement: pre-processing - Steam|Biomass"
"FE|Industry|Heat|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Steam distributed";"JRC-IDEES-2015_Industry_";"NMM_fec";35;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Pre-heating and pre-calcination|Cement: pre-processing - Steam|Steam distributed"
"FE|Industry|Solids|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Solids";"JRC-IDEES-2015_Industry_";"NMM_fec";37;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Clinker production (kilns)|Solids"
"FE|Industry|Liquids|Non-metallic minerals";"Non-metallic minerals (cement + other)";"LPG";"JRC-IDEES-2015_Industry_";"NMM_fec";38;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Clinker production (kilns)|LPG"
"FE|Industry|Liquids|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Diesel oil (incl. biofuels)";"JRC-IDEES-2015_Industry_";"NMM_fec";39;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Clinker production (kilns)|Diesel oil (incl. biofuels)"
"FE|Industry|Liquids|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Residual fuel oil";"JRC-IDEES-2015_Industry_";"NMM_fec";40;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Clinker production (kilns)|Residual fuel oil"
"FE|Industry|Liquids|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Other liquids";"JRC-IDEES-2015_Industry_";"NMM_fec";41;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Clinker production (kilns)|Other liquids"
"FE|Industry|Gases|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Natural gas (incl. biogas)";"JRC-IDEES-2015_Industry_";"NMM_fec";42;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Clinker production (kilns)|Natural gas (incl. biogas)"
"FE|Industry|Solids|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Biomass";"JRC-IDEES-2015_Industry_";"NMM_fec";43;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Clinker production (kilns)|Biomass"
"FE|Industry|Electricity|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Cement: Grinding, packaging";"JRC-IDEES-2015_Industry_";"NMM_fec";44;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Cement|Cement: Grinding, packaging"
"FE|Industry|Electricity|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Lighting";"JRC-IDEES-2015_Industry_";"NMM_fec";48;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Ceramics & other NMM|Lighting"
"FE|Industry|Electricity|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Air compressors";"JRC-IDEES-2015_Industry_";"NMM_fec";49;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Ceramics & other NMM|Air compressors"
"FE|Industry|Electricity|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Motor drives";"JRC-IDEES-2015_Industry_";"NMM_fec";50;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Ceramics & other NMM|Motor drives"
"FE|Industry|Electricity|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Fans and pumps";"JRC-IDEES-2015_Industry_";"NMM_fec";51;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Ceramics & other NMM|Fans and pumps"
"FE|Industry|Liquids|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Diesel oil (incl. biofuels)";"JRC-IDEES-2015_Industry_";"NMM_fec";53;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Ceramics & other NMM|Low enthalpy heat|Diesel oil (incl. biofuels)"
"FE|Industry|Gases|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Natural gas (incl. biogas)";"JRC-IDEES-2015_Industry_";"NMM_fec";54;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Ceramics & other NMM|Low enthalpy heat|Natural gas (incl. biogas)"
"FE|Industry|Heat|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Solar and geothermal";"JRC-IDEES-2015_Industry_";"NMM_fec";55;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Ceramics & other NMM|Low enthalpy heat|Solar and geothermal"
"FE|Industry|Electricity|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Electricity";"JRC-IDEES-2015_Industry_";"NMM_fec";56;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Ceramics & other NMM|Low enthalpy heat|Electricity"
"FE|Industry|Electricity|Non-metallic minerals";"Non-metallic minerals (cement + other)";"Ceramics: Mixing of raw material";"JRC-IDEES-2015_Industry_";"NMM_fec";57;1;"EJ/yr";"ktoe";4.1868E-05;"Non-metallic mineral products|Final Energy Consumption|Ceramics & other NMM|Ceramics: Mixing of raw material"
