CEDS62;INTERMEDIARY;GAINS2025;CEDS16;comment
2D_Degreasing-Cleaning;Process Solvents and Other;CUSM;Solvents Production and Application;
2D_Paint-application;Process Solvents and Other;CUSM;Solvents Production and Application;Assuming solvents and co. are in CHEM
2D_Chemical-products-manufacture-processing;Process Chemicals;CHEM;Solvents Production and Application;
2D_Other-product-use;Process Solvents and Other;CUSM;Solvents Production and Application;
5A_Solid-waste-disposal;Waste Solids and Other;Waste_Solid_Industrial;Waste;
5A_Solid-waste-disposal;Waste Solids and Other;Waste_Solid_Municipal;Waste;
5C_Waste-combustion;Waste Solids and Other;Waste_Solid_Industrial;Waste;
5C_Waste-combustion;Waste Solids and Other;Waste_Solid_Municipal;Waste;
5D_Wastewater-handling;Wastewater;Waste_Water_Industrial;Waste;
5D_Wastewater-handling;Wastewater;Waste_Water_Municipal;Waste;
5E_Other-waste-handling;Waste Solids and Other;Waste_Solid_Industrial;Waste;
5E_Other-waste-handling;Waste Solids and Other;Waste_Solid_Municipal;Waste;
